trade_date,spearman_r,n_strategies
2025-01-01,0.7662232510332925,23
2025-01-02,0.4140676392138542,23
2025-01-03,0.3199613575743419,23
2025-01-06,0.3126393684411008,23
2025-01-07,0.3165968288011148,23
2025-01-08,0.26877470355731226,23
2025-01-09,0.4561403648024143,23
2025-01-10,0.5006177568199845,23
2025-01-13,0.6757291977319206,23
2025-01-14,0.5609093326660242,23
2025-01-15,0.6351953321766775,23
2025-01-16,0.4992585879365325,23
2025-01-17,0.5155709972453499,23
2025-01-20,0.14822134387351776,23
2025-01-21,0.25889328063241107,23
2025-01-22,0.4031620553359684,23
2025-01-23,0.17687747035573123,23
2025-01-24,0.23320158102766803,23
2025-01-27,0.11758893280632411,23
2025-01-28,0.15118577075098816,23
2025-01-29,0.05335968379446641,23
2025-01-30,0.025691699604743084,23
2025-01-31,-0.1007905138339921,23
2025-02-03,0.05533596837944664,23
2025-02-04,0.13537549407114624,23
2025-02-05,0.48776873245935315,23
2025-02-06,0.24314307636271706,23
2025-02-07,0.31183593736763104,23
2025-02-10,0.0790513833992095,23
2025-02-11,0.1314229249011858,23
2025-02-12,0.02075098814229249,23
2025-02-13,0.001976284584980237,23
2025-02-14,-0.06126482213438736,23
2025-02-17,0.21200890195041794,23
2025-02-18,-0.09389671648153708,23
2025-02-19,0.07511737318522965,23
2025-02-20,0.02125030951950576,23
2025-02-21,-0.022238696008785096,23
2025-02-24,0.25790513833992096,23
2025-02-25,0.5602766798418972,23
2025-02-26,0.5118577075098815,23
2025-02-27,0.5088932806324111,23
2025-02-28,0.1689723320158103,23
2025-03-03,0.25296442687747034,23
2025-03-04,0.0,23
2025-03-05,-0.13537549407114624,23
2025-03-06,-0.01383399209486166,23
2025-03-07,0.0029644268774703555,23
2025-03-10,0.2218927668432113,23
2025-03-11,0.28317272917853026,23
2025-03-12,0.1932295586541105,23
2025-03-13,0.3414875320460111,23
2025-03-14,0.20014826407906589,23
2025-03-17,0.155176678816856,23
2025-03-18,0.10177865612648221,23
2025-03-19,0.2391304347826087,23
2025-03-20,0.29051383399209485,23
2025-03-21,0.5128458498023715,23
2025-03-24,0.3587842956083996,23
2025-03-25,0.06671608802635529,23
2025-03-26,0.14578700716870233,23
2025-03-27,0.06276254206923794,23
2025-03-28,0.1378799152544676,23
2025-03-31,0.38547073081894173,23
2025-04-01,0.49666421086286716,23
2025-04-02,0.47294293512016305,23
2025-04-03,0.41660490523124083,23
2025-04-04,0.42500619039011517,23
2025-04-07,0.4180067505264719,23
2025-04-08,-0.003459352712477682,23
2025-04-09,0.09836877128650491,23
2025-04-10,0.24468613963226093,23
2025-04-11,0.06918705424955364,23
2025-04-14,0.11317025302248417,23
2025-04-15,0.346020803520369,23
2025-04-16,0.2817597971523005,23
2025-04-17,0.47849733972531033,23
2025-04-18,0.17696492522898874,23
2025-04-21,0.19663259900466523,23
2025-04-22,0.3164942840402546,23
2025-04-23,0.37939690387298125,23
2025-04-24,0.3174848764785652,23
2025-04-25,0.2560681453033046,23
2025-04-28,0.0029644268774703555,23
2025-04-29,-0.1818181818181818,23
2025-04-30,0.02075098814229249,23
2025-05-01,0.06818181818181818,23
2025-05-02,0.05237154150197629,23
2025-05-05,0.11561264822134389,23
2025-05-06,0.12154150197628459,23
2025-05-07,0.16798418972332016,23
2025-05-08,-0.005928853754940711,23
2025-05-09,-0.05434782608695652,23
2025-05-12,0.0899209486166008,23
2025-05-13,-0.03656126482213439,23
2025-05-14,-0.03557312252964427,23
2025-05-15,-0.09189723320158102,23
2025-05-16,0.16205533596837948,23
2025-05-19,0.09782608695652174,23
2025-05-20,-0.07411067193675888,23
2025-05-21,-0.07806324110671936,23
2025-05-22,-0.21640316205533597,23
2025-05-23,-0.01383399209486166,23
2025-05-26,-0.005930318935676025,23
2025-05-27,-0.21793922088609397,23
2025-05-28,-0.08747220430122138,23
2025-05-29,-0.19767729785586755,23
2025-05-30,-0.1284902436063139,23
2025-06-02,-0.011857707509881422,23
2025-06-03,-0.19861660079051385,23
2025-06-04,-0.2272727272727273,23
2025-06-05,-0.03557312252964427,23
2025-06-06,-0.03063241106719368,23
2025-06-09,-0.0009883864892793377,23
2025-06-10,-0.09933284217257345,23
2025-06-11,0.09834445568329409,23
2025-06-12,0.222386960087851,23
2025-06-13,0.04694835824076854,23
2025-06-16,0.10526316110824946,23
2025-06-17,0.048430937974687546,23
2025-06-18,0.2391895304055997,23
2025-06-19,0.11020509355464615,23
2025-06-20,-0.015814183828469403,23
2025-06-23,-0.325098814229249,23
2025-06-24,-0.25395256916996045,23
2025-06-25,-0.0029644268774703555,23
2025-06-26,0.158102766798419,23
2025-06-27,0.22782308577888738,23
2025-06-30,0.34593527124776824,23
2025-07-01,0.41709909847588056,23
2025-07-02,0.3948604024670954,23
2025-07-03,0.34000495231209216,23
2025-07-04,0.299975299496279,23
2025-07-07,0.29772517036889135,23
2025-07-08,0.3264096552217081,23
2025-07-09,0.10781409823989753,23
2025-07-10,0.1681504284475466,23
2025-07-11,0.21859555698181057,23
2025-07-14,0.19372375189875018,23
2025-07-15,0.11712379897960153,23
2025-07-16,0.34000495231209216,23
2025-07-17,0.5925377003229629,23
2025-07-18,0.4334074755489896,23
2025-07-21,0.4258893280632411,23
2025-07-22,0.4426877470355731,23
2025-07-23,0.3725296442687747,23
2025-07-24,0.291501976284585,23
2025-07-25,0.32608695652173914,23
2025-07-28,0.2618577075098814,23
2025-07-29,0.16996047430830039,23
2025-07-30,0.11363636363636365,23
2025-07-31,0.004940711462450594,23
2025-08-01,0.021739130434782608,23
2025-08-04,0.15316205533596838,23
2025-08-05,0.19960474308300394,23
2025-08-06,0.25691699604743085,23
2025-08-07,0.19071146245059292,23
2025-08-08,0.1798418972332016,23
2025-08-11,-0.07616225288506522,23
2025-08-12,0.12166178058263666,23
2025-08-13,-0.029673605020155282,23
2025-08-14,-0.2997034107035684,23
2025-08-15,-0.056379849538295036,23
2025-08-18,-0.12957474192134474,23
2025-08-19,0.08605345455845033,23
2025-08-20,-0.054401609203618015,23
2025-08-21,-0.014836802510077641,23
2025-08-22,-0.19485667296568634,23
2025-08-25,0.0009881422924901185,23
2025-08-26,0.16106719367588934,23
2025-08-27,0.08498023715415019,23
2025-08-28,-0.025691699604743084,23
2025-08-29,0.019762845849802375,23
2025-09-01,-0.3764822134387352,23
2025-09-02,-0.12944664031620554,23
2025-09-03,-0.08300395256916995,23
2025-09-04,-0.23517786561264822,23
2025-09-05,-0.25395256916996045,23
2025-09-08,-0.14130434782608697,23
2025-09-09,-0.1057312252964427,23
2025-09-10,-0.09288537549407114,23
2025-09-11,-0.16403162055335968,23
2025-09-12,0.012845849802371542,23
2025-09-15,0.35177865612648224,23
2025-09-16,0.4436758893280633,23
2025-09-17,0.4229249011857708,23
2025-09-18,0.4426877470355731,23
2025-09-19,0.3616600790513834,23
2025-09-22,0.2272727272727273,23
2025-09-23,0.2855731225296443,23
2025-09-24,0.29051383399209485,23
2025-09-25,0.15316205533596838,23
2025-09-26,0.158102766798419,23
2025-09-29,0.41957006469907887,23
2025-09-30,0.25500371423406915,23
2025-10-01,0.4497158526220987,23
2025-10-02,0.3602668753423186,23
2025-10-03,0.4507042391113779,23
2025-10-06,0.3335804401317765,23
2025-10-07,0.35532494289592187,23
2025-10-08,0.3286385076853798,23
2025-10-09,0.5277983852751663,23
2025-10-10,0.42204103092227724,23
2025-10-13,0.2595156026402768,23
2025-10-14,0.2679189650114857,23
2025-10-15,0.3282254479107501,23
2025-10-16,0.3662877362979906,23
2025-10-17,0.2508040503158831,23
2025-10-20,0.01681504284475466,23
2025-10-21,0.17399903262738559,23
2025-10-22,0.22634050604496833,23
2025-10-23,0.05534964339964291,23
2025-10-24,0.13244378956343125,23
2025-10-27,0.11473793941126709,23
2025-10-28,-0.0207715235141087,23
2025-10-29,0.0633036907096646,23
2025-10-30,0.2710189258507516,23
2025-10-31,0.2769536468547827,23
2025-11-03,0.28260869565217395,23
2025-11-04,0.3339920948616601,23
2025-11-05,0.37055335968379455,23
2025-11-06,0.31521739130434784,23
2025-11-07,0.19960474308300394,23
2025-11-10,0.5029644268774703,23
2025-11-11,0.44169960474308306,23
2025-11-12,0.4525691699604743,23
2025-11-13,0.549407114624506,23
2025-11-14,0.5543478260869565,23
2025-11-17,0.5791944827176919,23
2025-11-18,0.5530022407517895,23
2025-11-19,0.5233506460734094,23
2025-11-20,0.5391648299018788,23
2025-11-21,0.6103286571299911,23
2025-11-24,0.3804347826086957,23
2025-11-25,0.3211462450592885,23
2025-11-26,0.2865612648221344,23
2025-11-27,0.2124505928853755,23
2025-11-28,0.3685770750988142,23
2025-12-01,0.2608695652173913,23
2025-12-02,0.158102766798419,23
2025-12-03,0.17094861660079053,23
2025-12-04,0.09387351778656126,23
2025-12-05,0.05533596837944664,23
2025-12-08,0.42391304347826086,23
2025-12-09,0.42687747035573126,23
2025-12-10,0.4258893280632411,23
2025-12-11,0.3725296442687747,23
2025-12-12,0.3389328063241107,23
2025-12-15,0.09241413674761807,23
2025-12-16,0.06126482213438736,23
2025-12-17,0.016798418972332016,23
2025-12-18,0.10177865612648221,23
2025-12-19,0.06422924901185771,23
2025-12-22,-0.17000247615604608,23
2025-12-23,-0.19174697892019152,23
2025-12-24,-0.28811466162492694,23
2025-12-25,-0.1586360315293337,23
2025-12-26,-0.16901408966676676,23
2025-12-29,-0.016798418972332016,23
2025-12-30,0.21541501976284588,23
2025-12-31,0.19466403162055337,23
2026-01-01,0.019762845849802375,23
2026-01-02,-0.04545454545454545,23
2026-01-05,0.023715415019762844,23
2026-01-06,0.04743083003952569,23
2026-01-07,0.06620553359683795,23
2026-01-08,0.11561264822134389,23
2026-01-09,0.07806324110671936,23
2026-01-12,0.17292490118577078,23
2026-01-13,0.05928853754940712,23
2026-01-14,-0.02964426877470356,23
2026-01-15,-0.16798418972332016,23
2026-01-16,0.01482213438735178,23
2026-01-19,-0.10177865612648221,23
2026-01-20,-0.048418972332015815,23
2026-01-21,0.06225296442687748,23
2026-01-22,-0.04743083003952569,23
2026-01-23,-0.043478260869565216,23
2026-01-26,0.18532246673987582,23
2026-01-27,0.05928853754940712,23
2026-01-28,0.04644268774703557,23
2026-01-29,0.2124505928853755,23
2026-01-30,0.11956521739130435,23
2026-02-02,-0.021749879078423198,23
2026-02-03,-0.0014829463008015815,23
2026-02-04,-0.08798814718089384,23
2026-02-05,0.04498270445764797,23
2026-02-06,-0.002471577168002636,23
2026-02-09,0.2837370588867026,23
2026-02-10,0.4354918970020645,23
2026-02-11,0.24468613963226093,23
2026-02-12,0.4167079105252444,23
2026-02-13,0.582303580781421,23
2026-02-16,0.6281196139370191,23
2026-02-17,0.6182357490442257,23
2026-02-18,0.7086731128132852,23
2026-02-19,0.6721028127099496,23
2026-02-20,0.665678300529634,23
2026-02-23,0.46553003645056806,23
2026-02-24,0.40316627417641965,23
2026-02-25,0.43383659196652763,23
2026-02-26,0.1855059543756532,23
2026-02-27,0.3309426226061653,23
2026-03-02,0.377563638904707,23
2026-03-03,0.4719545486308838,23
2026-03-04,0.43241908905971027,23
2026-03-05,0.3454410780031285,23
2026-03-06,0.5569557867089068,23
2026-03-09,0.27081789806253853,23
2026-03-10,0.19915987758978657,23
2026-03-11,0.25401532774478974,23
2026-03-12,0.20064245732370556,23
2026-03-13,0.010872251382072713,23
2026-03-16,-0.10182897932170859,23
2026-03-17,-0.1395004776904912,23
2026-03-18,-0.21008405928022406,23
2026-03-19,-0.04844291249285167,23
2026-03-20,-0.15175483811536183,23
2026-03-23,0.01990098025289457,23
2026-03-24,-0.23980681204737955,23
2026-03-25,-0.1373167637449725,23
2026-03-26,-0.15783392577627509,23
2026-03-27,-0.2106112006415279,23
2026-03-30,0.1355804714396325,23
2026-03-31,,23
2026-04-01,,23
2026-04-02,,23
