state,state_label,rank,strategy,sharpe,cum_return,excess_return,win_rate,n_days
0,高波震荡,1,交易记录科创,2.18,75.38%,51.37%,13.9%,72
0,高波震荡,2,交易记录1000,1.63,38.38%,21.74%,10.9%,129
0,高波震荡,3,交易记录杠铃,1.59,35.53%,18.89%,11.6%,129
1,持续阴跌,1,交易记录800,0.96,-83.67%,-47.12%,10.6%,357
1,持续阴跌,2,交易记录申万动量,0.79,-89.63%,-53.09%,8.4%,357
1,持续阴跌,3,交易记录百亿etf两只,0.77,-99.99%,-63.45%,43.1%,357
2,高波下跌,1,交易记录杠铃,1.07,-42.96%,-24.62%,10.7%,243
2,高波下跌,2,交易记录军工,0.99,31.23%,49.57%,9.5%,243
2,高波下跌,3,交易记录国企,0.88,-88.67%,-70.33%,9.9%,243
5,慢牛趋势,1,交易记录百亿etf两只,1.39,-99.97%,-161.48%,41.3%,555
5,慢牛趋势,2,交易记录科创,0.99,-56.93%,-70.50%,11.0%,309
5,慢牛趋势,3,交易记录申万动量,0.64,-98.02%,-159.53%,8.1%,555
